song_name,movie_album,singers
Yeda Poinado,Aravindha Sametha," Nikitha Srivalli,  Kailash Kher,  Penchal Das"
Nuvvemi Chesavu,Pelli Chesukundham," Koti,  K.J. Yesudas"
Ammye Nannanyena,Simhadri," Kalyani Malik,  M.M. Keeravani"
Emo Emo Emo,Devadas," Sid Sriram,  Ramya Behara"
Nandalaala,Mukunda, Swetha Pandit
Changure Changure,Sitha Rama Raju," M. M. Keeravani,  S.P. Balasubrahmanyam"
Tooneega,Manasantha Nuvve," R.P. Patnaik,  Usha,  Sanjeevini"
Anandama,Konchem Ishtam Konchem Kashtam," Shankar-Ehsaan-Loy,  Shankar Mahadevan,  Shreya Ghoshal"
Jaruguthunnaadi,Krishnam Vande Jagathgurum," Mani Sharma,  S.P. Balasubrahmanyam"
Repalle Malle Murali Vinnidi,Allari Mogudu," S.P. Balasubrahmanyam,  Chitra"
Tummeda - O-Tummeda,Srinivasa Kalyanam," S.P. Balasubrahmanyam,  P. Susheela"
Chik Buk Pori,Anji," Mani Sharma,  Shankar Mahadevan,  Kalpana"
Thammudu Are Thammudu,Master, Chiranjeevi
Arere Chandrakala,Mukunda," Karthik,  Sai Shivani"
Konda Kona Gundello,Pelli," S.A. Raj Kumar,  K. S. Chithra,  S.P. Balasubrahmanyam"
Taralirada,Rudraveena," Ilaiyaraaja,  S.P. Balasubrahmanyam"
Amma Ane Pilichi,Simharasi," S. Janaki,  S.A. Rajkumar"
Gali Chiru Gali,Vasantham," S.A. Raj Kumar,  K. S. Chithra"
Kukoo Kukoo,Rajendrudu Gajendrudu (Original Motion Picture Soundtrack)," Bhuvana Chandra,  S.P.Balasubramanyam,  Chitra"
Pallakivye,Pournamy," Devi Sri Prasad,  Gopika Poornima"
Pelli Kala Vachhesindhi,Preminchukundam Raa," Mano,  K. S. Chitra,  Swarnalatha"
Manninchu O Prema,Ela Cheppanu," Koti,  Udit Narayan,  K. S. Chithra"
Gumma Gulabi,Anji," Mani Sharma,  Karthik,  Pop Shalini"
Entha Varaku,Gamyam, Ranjith
Muddimmindi,Allari Mogudu," S.P. Balasubrahmanyam,  Chitra"
Kopam Vasthe,Taraka Ramudu," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Mounanga Unna,Red," Dinker,  Nutana Mohan"
Gundelo Valava,Eeswar (New)," Rajesh Krishnan,  Singer Usha"
Bangaram Thechi,Iddaru Mithrulu," Parthasarathy,  K. S. Chithra"
Ee Yogamanukomu,Sri Anjaneyam, S. P. Balasubrahmanyam
Pade Pade,Kalusukovalani," Devi Sri Prasad,  Sumangali"
Laali Laali,Indira, Harini
Koncham Karanga,Chakram," Chakri,  Kousalya"
Manasuna Unnadi (Male),Priyamainaneeku," Shivashankar,  S.P. Balasubrahmanyam"
Kaadhani Nuvvantunnadhi,Happy Wedding," Hema Chandra,  Sravana Bhargavi"
Bhavyamyna,Pournamy," Devi Sri Prasad,  Jayadev,  Punya Srinivas"
Oka Life,Oopiri," Karthik,  Gopi Sunder"
Chivaraku Migiledi,Mahanati, Sunitha Upadrasta
Amma Song,Oke Oka Jeevitham (Original Motion Picture Soundtrack)," Sid Sriram,  Sirivennela Seetharama Sastry,  Jakes Bejoy"
Nee Vupuri Nee Sothama,Snehitudu, Ramakrishnan Murthy
Naa Paata Panchamrutham,Allari Mogudu, S.P. Balasubrahmanyam
Manasulone Nilichipoke,Varudu Kaavalenu, Chinmayi Sripada
Yemantave Oh Manasa,Ninne Ishtapaddanu," R.P. Patnaik,  K. S. Chithra,  S.P. Balasubrahmanyam"
Andala Prayam,Vamshoddarakudu," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Naa Pedavulu,Ready," Sagar,  Gopika Poornima,  Devi Sri Prasad"
Manna Friendalla,Snehitudu," Krish,  Suchith Suresan"
Chukkallara,Apathbhandavudu, Chitra
Anuragame Mantramga,Pelli," S.A. Raj Kumar,  K.J. Yesudas"
Manasuna Mansuga,Love Birds," A.R. Rahman,  Hariharan,  Sujatha Mohan"
Aakasa Ganga (Pathos),Vaana," Kamalakar,  Karthik"
Chitti Adugu,Most Eligible Bachelor, Zia Ul Haq
Okkasaari Okkasaari,Top Hero (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
